FECHA;PM2.5;PM10;NO;NO2;NOX;CO;SO2;OZONO
1/01/2017 1:00;14,2;14,2;1,7;9,3;11;0,19;0,9;4,1
1/01/2017 2:00;32,8;67;11;12,8;23,8;0,51;1,6;0,5
1/01/2017 3:00;35;0;10,6;11,5;22,1;0,49;1,3;3,2
1/01/2017 4:00;9,4;10;0,3;3,7;4;0,1;1;13,2
1/01/2017 5:00;3,3;8;0;1;0,8;0,07;0,8;16,6
1/01/2017 6:00;0;4;0;1,8;1,5;0,03;0,6;15
1/01/2017 7:00;4,3;4,3;0;2;1,9;0,06;1,2;15
1/01/2017 8:00;0;3;0,3;1,1;1,4;0,01;0,5;15,6
1/01/2017 9:00;0;5;0;0,3;0,1;0;0,7;16,8
1/01/2017 10:00;4,1;6;0;0,3;0,2;0;0,2;16,4
1/01/2017 11:00;4,3;8;0;0,3;0,2;0;0,4;17,1
1/01/2017 12:00;1,9;10;0;0,4;0,4;0;0,8;16,8
1/01/2017 13:00;1,3;10;0,1;0,5;0,6;0;1,5;16,7
1/01/2017 14:00;6,6;10;0,2;0,8;1;0,02;1,5;16,4
1/01/2017 15:00;6,5;7;0,3;1;1,2;0,03;0,7;16,3
1/01/2017 16:00;2,2;4;0,3;1,1;1,5;0,03;1,1;16,4
1/01/2017 17:00;11,8;11,8;0,5;1,8;2,3;0,03;1;16
1/01/2017 18:00;3,6;3,6;0,2;2,6;2,8;0,02;0,4;15,7
1/01/2017 19:00;2,9;2,9;0;2,6;2,3;0,03;1,4;15,9
1/01/2017 20:00;5,4;5,4;0,6;9,1;9,7;0,13;1,3;7,3
1/01/2017 21:00;7,1;0;3,4;12;15,4;0,25;1;3,3
1/01/2017 22:00;2,3;10;1,3;10,7;12;0,16;0,9;5,1
1/01/2017 23:00;4,2;13;2,7;13,1;15,9;0,28;1,2;1,1
2/01/2017 0:00;3,7;8;0;3;2,9;0,09;0,5;14,1
2/01/2017 1:00;10,4;0;0;2;1,6;0,11;1,1;16,2
2/01/2017 2:00;7,4;9;0;0,8;0,3;0,07;0,9;18,8
2/01/2017 3:00;0;8;0;0,5;0;0,1;0,8;19,1
2/01/2017 4:00;4,7;5;0;1,4;1;0,08;1;18,5
2/01/2017 5:00;5,7;5,7;0;3,8;3,5;0,1;1,1;13,6
2/01/2017 6:00;1,8;8;5;13,6;18,7;0,25;0,7;2,5
2/01/2017 7:00;9,2;11;12,9;13,5;26,4;0,44;1,5;5,4
2/01/2017 8:00;0;11;5,1;5,2;10,3;0,23;1,2;15,7
2/01/2017 9:00;8,9;11;2,4;2,7;5,2;0,1;1,1;18,3
2/01/2017 10:00;8,7;10;0,9;1,4;2,3;0,06;1,1;20,5
2/01/2017 11:00;2,1;11;0,6;1,1;1,7;0,08;1,5;20,6
2/01/2017 12:00;9,1;9,1;0,8;1,2;2;0,09;1,4;19,6
2/01/2017 13:00;4,6;16;1;1,4;2,5;0,06;1,5;19,1
2/01/2017 14:00;8,2;8,2;1,1;1,5;2,7;0,08;1,3;19,6
2/01/2017 15:00;4,1;8;1,2;2,1;3,3;0,11;1,1;20,2
2/01/2017 16:00;6,2;9;2,1;3,1;5,2;0,14;1,3;20
2/01/2017 17:00;0;9;2,3;3,9;6,2;0,19;1,1;20,2
2/01/2017 18:00;9,8;9,8;2,2;6,7;8,9;0,22;1,2;17,7
2/01/2017 19:00;2,1;8;3,4;14;17,4;0,32;1,6;10,1
2/01/2017 20:00;7,5;10;5,3;16,6;21,9;0,35;1,7;5,9
2/01/2017 21:00;11,2;12;7,2;17,9;25;0,33;0,6;3,6
2/01/2017 22:00;5;11;9,4;18,3;27,7;0,43;1,3;1
2/01/2017 23:00;7,5;27;35;18,8;53,8;0,78;2,2;0,4
3/01/2017 0:00;12,6;47;77,6;18,9;96,5;1,29;2,9;0,3
3/01/2017 1:00;17,1;41;71,9;18;89,9;1,12;2,3;0,2
3/01/2017 2:00;18,6;41;64,1;16,4;80,5;0,98;2,7;0,2
3/01/2017 3:00;19,8;44;62,7;15,4;78,2;0,89;2,7;0,3
3/01/2017 4:00;11,7;22;19,2;15,3;34,6;0,46;1,6;0,4
3/01/2017 5:00;15;21;21,2;14,1;35,4;0,43;1,8;0,2
3/01/2017 6:00;10,2;30;38,1;13,6;51,6;0,58;1,8;0,3
3/01/2017 7:00;13,4;31;47;14;61;0,73;2,1;0,8
3/01/2017 8:00;2,6;42;60,8;21,6;82,3;1,09;3;3,2
3/01/2017 9:00;15,2;43;50;26,1;76,1;0,94;2,5;7,8
3/01/2017 10:00;19,1;31;13;12,3;25,3;0,25;1,3;17,7
3/01/2017 11:00;13,2;24;6,4;8,2;14,6;0,1;1,4;24,1
3/01/2017 12:00;13,3;21;4,1;7,7;11,7;0,1;1,3;29,4
3/01/2017 13:00;11,6;11,6;1,8;3,8;5,6;0;1,4;24,6
3/01/2017 14:00;11,2;11,2;1,3;2,5;3,8;0;1,4;22,4
3/01/2017 15:00;9,8;44;1,8;8,7;10,6;0,14;1,6;29,3
3/01/2017 16:00;23,5;55;2;10,2;12,2;0,21;1,6;28,7
3/01/2017 17:00;14,7;34;1,2;7,4;8,5;0,11;1,3;27,3
3/01/2017 18:00;21,1;27;1,3;13,5;14,8;0,23;1,6;17,5
3/01/2017 19:00;20,3;34;3,6;21,7;25,3;0,47;1,7;6,7
3/01/2017 20:00;14;34;1,9;21,6;23,5;0,43;1,4;1,9
3/01/2017 21:00;21,1;30;18,2;20,1;38,3;0,54;1,7;0,4
3/01/2017 22:00;7;40;13,7;23,7;37,4;0,57;2,3;0
3/01/2017 23:00;19,1;30;10;19,7;29,8;0,43;2,6;0,3
4/01/2017 0:00;12,1;22;3,3;16,4;19,7;0,3;5,2;1,3
4/01/2017 1:00;8,8;16;0,5;8;8,5;0,19;1,9;9,2
4/01/2017 2:00;2,8;12;0,3;9;9,2;0,18;1,6;6,3
4/01/2017 3:00;6,7;22;0,7;11;11,7;0,25;1,6;5,2
4/01/2017 4:00;11,6;17;0,8;11,7;12,5;0,26;1,6;2,3
4/01/2017 5:00;8,1;11;4,7;12,3;17;0,29;1,2;0,6
4/01/2017 6:00;6;17;18;11,9;29,8;0,41;1,6;0,2
4/01/2017 7:00;15,6;33;57,4;12,7;70,1;0,95;2,2;0,5
4/01/2017 8:00;7,4;52;74,4;19,9;94,4;1,36;3;1,7
4/01/2017 9:00;14,2;63;45,5;26,6;72,2;1,12;3,6;7,3
4/01/2017 10:00;33,6;61;16,5;19,2;35,8;0,53;3,2;16,7
4/01/2017 11:00;29,8;55;13,4;23,1;36,5;0,61;2,6;26,6
4/01/2017 12:00;36,5;60;8,5;25,7;34,2;0,65;2,8;40,8
4/01/2017 13:00;42,8;60;2,8;19,6;22,5;0,45;2,6;39,3
4/01/2017 14:00;31,8;48;2,4;11,9;14,3;0,31;1,5;25,5
4/01/2017 15:00;11,8;41;1,1;8,7;9,8;0,26;1,2;24,8
4/01/2017 16:00;8,7;30;4,4;11,2;15,6;0,38;1,8;19,1
4/01/2017 17:00;25;30;7;15,8;22,8;0,48;1,9;10
4/01/2017 18:00;20,3;39;9,1;19,7;28,7;0,62;1,8;5,3
4/01/2017 19:00;15,9;34;15,8;21,8;37,6;0,85;2;0,3
4/01/2017 20:00;21;51;61,1;21,2;82,3;1,58;3;0,2
4/01/2017 21:00;23,8;42;70,2;18,7;88,8;1,59;3,4;0,3
4/01/2017 22:00;21,1;63;102,8;20,2;122,9;1,94;3,9;0,2
4/01/2017 23:00;37,5;74;108,9;20,6;129,5;1,96;3,9;0,2
5/01/2017 0:00;34,1;71;124,5;18,1;142,6;2,1;3,9;0,3
5/01/2017 1:00;27,7;61;110,2;15,3;125,5;1,87;3,4;0,3
5/01/2017 2:00;32,3;43;92,8;13,6;106,4;1,56;3,4;0,3
5/01/2017 3:00;24,1;42;43,6;13,6;57,3;0,86;2,6;0,1
5/01/2017 4:00;21,3;23;28,1;11,9;40;0,61;2,2;0,2
5/01/2017 5:00;12,3;28;28,5;11,1;39,6;0,57;2;0,1
5/01/2017 6:00;17,9;35;52;11,1;63,2;0,78;2,4;0,7
5/01/2017 7:00;21;51;53,8;14,8;68,6;1,02;2,4;0,2
5/01/2017 8:00;29,7;41;55;16,6;71,6;1,16;2,4;0,6
5/01/2017 9:00;27,2;44;37,9;18,6;56,5;0,93;2,6;2,8
5/01/2017 10:00;26,2;65;26,8;22,6;49,3;0,8;2,3;8,6
5/01/2017 11:00;32,6;64;16,3;21,9;38,2;0,64;1,6;16
5/01/2017 12:00;22,3;35;10,4;19,3;29,7;0,54;1,9;21,7
5/01/2017 13:00;42,3;69;9,7;20,4;30,1;0,51;2,8;19,8
5/01/2017 14:00;36,7;52;6,7;15,3;22;0,42;2,6;17,2
5/01/2017 15:00;19,3;21;4,9;8,8;13,8;0,26;1,3;14,5
5/01/2017 16:00;0;38;5,6;12,6;18,1;0,3;2,2;18,9
5/01/2017 17:00;39;41;2,8;17,1;19,9;0,34;1,5;18,7
5/01/2017 18:00;24,2;42;5,8;24,7;30,5;0,55;1,4;8,3
5/01/2017 19:00;25,1;43;6,1;29,7;35,9;0,75;1,8;5,5
5/01/2017 20:00;21,9;31;3,4;23,6;27;0,53;1,8;7,2
5/01/2017 21:00;26,2;40;2,1;24,7;26,9;0,5;1,6;2,7
5/01/2017 22:00;28,8;56;21,9;27,4;49,3;0,86;2,3;0,2
5/01/2017 23:00;23,3;36;41;21,3;62,1;0,98;2,2;0,1
6/01/2017 0:00;7,5;21;8,9;15,3;24,2;0,38;1,5;1,2
6/01/2017 1:00;7,7;18;20,5;15,5;35,9;0,53;1,5;0,5
6/01/2017 2:00;8,8;16;6,7;11,8;18,5;0,33;1;5
6/01/2017 3:00;8,2;8,2;6,2;12,2;18,5;0,31;1,3;5,6
6/01/2017 4:00;12,1;12,1;9,2;16;25,1;0,34;1,4;0,4
6/01/2017 5:00;4,9;22;21,8;15,6;37,4;0,44;1,5;0,3
6/01/2017 6:00;17,1;29;40,6;14,4;55;0,62;1,9;0,2
6/01/2017 7:00;18,2;32;40,2;15;55,2;0,75;2,4;1,3
6/01/2017 8:00;11,7;11,7;8,1;12,5;20,6;0,38;1,3;5,8
6/01/2017 9:00;1,1;19;7,4;9,8;17,2;0,35;1,1;8,8
6/01/2017 10:00;3,1;20;14,4;8,5;19;0,31;1,6;0
6/01/2017 11:00;8,6;26;3,3;5,4;8,7;0;0;14,6
6/01/2017 12:00;7,8;7,8;2,2;2,3;4,4;0,21;1;16,4
6/01/2017 13:00;7;7;1,2;2,1;3,3;0,11;1,5;18,1
6/01/2017 14:00;9,5;9,5;2,1;3,5;5,5;0,12;1,4;17,6
6/01/2017 15:00;0,2;8;2,9;4,2;7,1;0,13;1,4;16,7
6/01/2017 16:00;11,5;11,5;1,6;5;6,6;0,13;1,2;15,3
6/01/2017 17:00;5;12;1,6;5,2;6,8;0,13;1,5;14,8
6/01/2017 18:00;9,6;13;2,8;9,1;12;0,24;1,6;10,5
6/01/2017 19:00;10,1;10,1;6,4;13,3;19,8;0,39;0,9;6,8
6/01/2017 20:00;8;8;2,5;12,7;15,2;0,28;1,6;6,2
6/01/2017 21:00;6,8;17;18,4;16,4;34,8;0,58;1,4;0,5
6/01/2017 22:00;14,3;27;42,4;16,1;58,6;0,98;2,1;0,6
6/01/2017 23:00;6,6;16;14,9;16,9;31,8;0,51;1,6;2,3
7/01/2017 0:00;5,6;10;3,6;9;12,7;0,23;1;10,9
7/01/2017 1:00;3,7;10;0,9;8,9;9,7;0,1;0,8;11,6
7/01/2017 2:00;6,4;10;0,2;7,3;7,4;0,03;0,9;12,4
7/01/2017 3:00;11,3;16;0,7;13,4;14;0,07;1,3;3
7/01/2017 4:00;4,8;17;2,1;14,6;16,7;0,12;1,4;1,3
7/01/2017 5:00;10,9;10,9;2,4;13,7;16,1;0,12;1,3;1,5
7/01/2017 6:00;5;11;4,9;10,3;15,2;0,14;1,5;7,8
7/01/2017 7:00;4,2;11;5,2;9,1;14,3;0,17;1,3;11,1
7/01/2017 8:00;11,3;26;37,5;16,3;53,7;0,73;2,1;3,2
7/01/2017 9:00;5,5;13;3,7;4,1;7,8;0,01;0,8;15,1
7/01/2017 10:00;12,2;12,2;2,4;2,9;5,4;0;1;17
7/01/2017 11:00;7;8;1,4;2,1;3,5;0;0,9;18,2
7/01/2017 12:00;5,7;16;1,7;2,3;4;0;1,3;17,8
7/01/2017 13:00;7,1;18;1,3;2,5;3,9;0;1,3;18
7/01/2017 14:00;3,8;14;1,5;2,6;4,1;0,01;1,3;17,6
7/01/2017 15:00;0;11;2,6;3,7;6,3;0,05;1,2;18,6
7/01/2017 16:00;11,3;11,3;1,5;3,6;5,2;0,01;1,2;18,6
7/01/2017 17:00;17,2;0;1,7;5;6,7;0,04;1,5;16,4
7/01/2017 18:00;5,8;9;0,4;6,6;7;0,02;1,7;14,1
7/01/2017 19:00;5,9;7;1,1;8,7;9,8;0,05;1,7;12,6
7/01/2017 20:00;5,2;6;0,9;8,1;9;0,06;1,2;12,4
7/01/2017 21:00;9,1;9,1;0,7;8,8;9,4;0,03;1,2;9,6
7/01/2017 22:00;3,9;7;2,7;11,4;14;0,12;1,2;5,7
7/01/2017 23:00;1,4;11;0,1;4,7;4,8;0,04;1,2;13,9
8/01/2017 0:00;8,8;10;0,3;5,8;6,2;0,1;1,1;11,6
8/01/2017 1:00;2;10;2;12,7;14,7;0,29;0,9;2,5
8/01/2017 2:00;11,9;11,9;0,1;6,9;7;0,18;0,4;9,3
8/01/2017 3:00;3,2;10;0;4,4;4,1;0,15;1,1;12,1
8/01/2017 4:00;4,4;10;0;4,7;4,4;0,15;1,2;11,6
8/01/2017 5:00;2;7;0;3,8;3,4;0,12;1,1;12,2
8/01/2017 6:00;6,7;16;0,7;8,5;9,2;0,18;0,7;6,4
8/01/2017 7:00;5,4;10;4,2;11,5;15,7;0,32;1,4;2,1
8/01/2017 8:00;2,8;10;4,6;5,9;10,5;0,25;1,3;11,2
8/01/2017 9:00;3,2;8;0,6;2;2,6;0,08;1;17,2
8/01/2017 10:00;8,4;8,4;1,1;3,2;4,3;0,1;1;16,9
8/01/2017 11:00;0;8;0,7;1,5;2,2;0,09;0,7;19,1
8/01/2017 12:00;6,8;10;1;2,4;3,4;0,12;1,2;19,2
8/01/2017 13:00;6,3;17;0,8;1,8;2,6;0,11;1;19,6
8/01/2017 14:00;6;6;0,7;1,5;2,2;0,12;1,3;19,7
8/01/2017 15:00;2,7;5;0,4;1,3;1,7;0,11;0,9;19,4
8/01/2017 16:00;12,3;18;1,5;4,1;5,5;0,17;1,1;18,8
8/01/2017 17:00;19,5;32;1,6;9,4;11;0,22;1,5;17,7
8/01/2017 18:00;23,9;0;0,7;11,5;12,2;0;1,2;14,3
8/01/2017 19:00;13,7;29;1,4;17,8;19,2;0,43;1,8;5,3
8/01/2017 20:00;8,7;22;0,5;13;13,5;0,53;1,5;9,8
8/01/2017 21:00;11,6;32;2;16,9;18,8;1,19;1,6;6,5
8/01/2017 22:00;21,4;33;4,4;23,1;27,6;0,85;1,5;1,5
8/01/2017 23:00;22,4;41;0;16,2;16,2;0,52;1;7,1
9/01/2017 0:00;27,4;32;5,9;22,1;28;0,45;1,7;0,5
9/01/2017 1:00;17,3;17,3;0,6;15,6;16,2;0,4;1,6;6,8
9/01/2017 2:00;27,5;38;0;14,1;14,1;0,53;1,5;5
9/01/2017 3:00;36,6;48;0,9;18,2;19,1;0,61;1,5;1,3
9/01/2017 4:00;29;31;1,9;16,4;18,3;0,57;1,7;0,6
9/01/2017 5:00;14,8;23;3,7;13,1;16,8;0,49;1,6;0,5
9/01/2017 6:00;10,9;21;5,3;11,9;17,2;0,49;1,1;0,1
9/01/2017 7:00;11;21;10,2;10,2;20,4;0,54;1,4;0,8
9/01/2017 8:00;3,4;31;22,3;13,1;35,3;0,87;2,8;4,6
9/01/2017 9:00;23,9;42;17,2;13,1;30,3;1,16;2,8;9,6
9/01/2017 10:00;23;26;6,6;8,2;14,8;1,16;2,3;16,2
9/01/2017 11:00;0;16;4,7;7,7;12,4;0,7;1,6;19,3
9/01/2017 12:00;15,2;16;4,3;6,8;11,1;0,26;1,6;0
9/01/2017 13:00;27,3;0;3,3;6,5;9,8;0,16;1,9;0
9/01/2017 14:00;15,2;16;4,5;9,3;13,8;0,1;1,9;0
9/01/2017 15:00;12,7;13;6,9;14,9;21,7;0,18;1,2;0
9/01/2017 16:00;15,3;20;9,8;17,8;27,5;0,18;1,1;0
9/01/2017 17:00;12,3;20;7;17;24;0,04;1,2;0
9/01/2017 18:00;17,6;0;4,4;13,5;17,9;0;1,6;0
9/01/2017 19:00;13,5;19;27,6;19,4;46,9;0,26;2,1;0
9/01/2017 20:00;12;33;32,3;24,3;56,6;0,44;2;0
9/01/2017 21:00;28,1;43;31,3;23,9;55,2;0,26;2,3;0
9/01/2017 22:00;21,8;38;45,3;22,9;68,1;0,24;3,3;0
9/01/2017 23:00;20,3;30;21,5;18,4;40;0;2,1;0
10/01/2017 0:00;6,9;11;3,6;18,3;21,9;0;1,5;0
10/01/2017 1:00;6,9;8;6,8;17,3;24,1;0,24;1,6;0
10/01/2017 2:00;12,9;12,9;1,6;15,3;16,8;0,23;2,3;0
10/01/2017 3:00;3,8;13;1,3;15,6;16,9;0,19;1,8;0
10/01/2017 4:00;11,7;16;1,8;14,8;16,6;0,09;1,8;0
10/01/2017 5:00;8,8;20;1,6;14,7;16,3;0,04;1,7;0
10/01/2017 6:00;9,2;19;9;16,7;25,7;0,07;2;0
10/01/2017 7:00;15,6;30;35,8;16,1;51,9;0,39;2,4;0
10/01/2017 8:00;7,9;44;46,3;20,2;66,5;0,81;3,1;0
10/01/2017 9:00;22,6;46;39,8;24;63,7;1,11;2,8;0
10/01/2017 10:00;42,8;54;20,7;22,5;43,2;1,13;2,4;0
10/01/2017 11:00;33,2;39;11,3;20,8;32,1;1,08;2,3;0
10/01/2017 12:00;33,4;33,4;9,3;18,3;27,7;1,17;2;0
10/01/2017 13:00;30,7;63;12,2;22,1;34,2;1,4;2,6;0
10/01/2017 14:00;62,2;74;7,4;18,1;25,6;1,54;2,2;0
10/01/2017 15:00;47,4;59;5,4;15,4;20,8;1,62;2;0
10/01/2017 16:00;18,3;35;6,1;15;21,2;1,25;1,6;0
10/01/2017 17:00;24,5;52;2,9;18,5;21,5;1,15;1,5;0
10/01/2017 18:00;21,3;35;3,7;21,2;24,9;1,08;1,9;0
10/01/2017 19:00;17;47;5,3;24,5;29,9;1,03;1,8;0
10/01/2017 20:00;18,5;48;10,7;30,7;41,4;1,15;1,7;0
10/01/2017 21:00;24,1;46;12,9;32,3;45,3;1,33;3,3;0
10/01/2017 22:00;24,4;39;21,4;27,5;49;1,16;2,8;0
10/01/2017 23:00;20,5;47;20,3;25,9;46,3;0,96;4,9;0
11/01/2017 0:00;20,2;40;11,9;22,3;34,2;0,56;4,2;0
11/01/2017 1:00;15,8;27;1,1;13,4;14,5;0,16;2,4;0
11/01/2017 2:00;14,7;27;0,3;10;10,3;0,11;1,7;0
11/01/2017 3:00;7,4;13;0;6,2;6,3;0,01;1,7;0
11/01/2017 4:00;10,8;13;0;5,7;5,7;0;1,5;0
11/01/2017 5:00;0;10;0,1;10,7;10,8;0;1,4;0
11/01/2017 6:00;5,9;18;1,2;15,5;16,7;0;1,5;0
11/01/2017 7:00;9,5;9,5;6,8;15,4;22,3;0;1,6;0
11/01/2017 8:00;7;35;40,1;20,4;60,5;0,75;2,6;0
11/01/2017 9:00;36,8;48;29,7;24,5;54,2;0,93;3,7;0
11/01/2017 10:00;38,1;57;21,5;30,3;51,8;1,14;2,9;0
11/01/2017 11:00;55,7;63;13,1;34,5;47,5;1,31;2,7;0
11/01/2017 12:00;49,8;92;7;27,2;34,2;1,1;2,7;0
11/01/2017 13:00;41,9;41,9;6,4;19,7;26,1;0,97;2,5;0
11/01/2017 14:00;35,5;38;8,6;17,7;26,3;0,88;1,8;0
11/01/2017 15:00;14,7;38;5,9;11,9;17,8;0,68;1,2;0
11/01/2017 16:00;17,8;31;3,6;9,7;13,2;0,62;1,5;0
11/01/2017 17:00;0;26;9,1;23,2;32,3;0,92;1,8;0
11/01/2017 18:00;0;28;16,9;30,1;47;1,1;2,1;0
11/01/2017 19:00;0;33;37,9;34,9;72,8;1,55;1,9;0
11/01/2017 20:00;25,9;28;42,1;32,1;74,2;1,35;2;0
11/01/2017 21:00;25,1;29;40,5;30,2;70,7;1,01;2,4;0
11/01/2017 22:00;0;27;53,9;24,5;78,4;0,98;2,5;0
11/01/2017 23:00;13,6;36;76,3;21,7;98;1,09;2,8;0
12/01/2017 0:00;0;22;52,7;18;70,7;0,8;2,5;0
12/01/2017 1:00;17,4;25;49,8;16,8;66,6;0,83;2,3;0
12/01/2017 2:00;22,1;34;50,2;15,8;66;0,79;2,5;0
12/01/2017 3:00;18,3;29;46,9;13,7;60,6;0,68;2,2;0
12/01/2017 4:00;21,9;21,9;28,6;14,1;42,7;0,34;2;0
12/01/2017 5:00;8,6;25;20,6;15,1;35,7;0,1;1,8;0
12/01/2017 6:00;12,4;26;35,4;15,4;50,8;0,12;2,3;0
12/01/2017 7:00;18,4;41;94,8;16,9;111,6;0,9;3,2;0
12/01/2017 8:00;29,3;60;81,6;21,9;103,5;1,35;3,1;0
12/01/2017 9:00;16,6;61;45,1;28,5;73,6;1;3,5;0
12/01/2017 10:00;33,9;58;23,7;22,5;46,2;0,8;2,4;0
12/01/2017 11:00;22,7;40;11,6;19,1;30,7;0,94;2,1;0
12/01/2017 12:00;30,8;41;5,3;16,3;21,6;0,99;2,7;0
12/01/2017 13:00;48,2;65;3,8;19,6;23,4;1,29;3,1;0
12/01/2017 14:00;41,6;81;4,8;18,9;23,7;0;1,6;0
12/01/2017 15:00;18,5;0;7,6;14,5;22,1;0;0;0
12/01/2017 16:00;14,7;50;5,2;12,8;18;0,58;0,4;19,3
12/01/2017 17:00;29,6;56;5,1;13,7;18,7;0,6;1,3;15,4
12/01/2017 18:00;22;31;4,1;15,4;19,5;0,5;0,7;12,2
12/01/2017 19:00;17,1;39;6;22,4;28,4;0,68;0;3,9
12/01/2017 20:00;9,2;26;7,4;21;28,4;0,54;0,1;5,9
12/01/2017 21:00;26,4;77;46,6;28,9;75,5;1,06;2,2;0,7
12/01/2017 22:00;27;58;26,8;25,2;52;0,74;1,3;0,7
12/01/2017 23:00;26,5;28;10,8;19,4;30,3;0,29;0,2;3,3
13/01/2017 0:00;7,1;16;18;19,3;37,3;0,33;0,9;2,1
13/01/2017 1:00;12,7;16;19,5;18,2;37,6;0,41;0,6;1,4
13/01/2017 2:00;14,7;61;26,7;18,9;45,6;0,4;1,6;0,5
13/01/2017 3:00;29,4;51;25,4;18,1;43,6;0,35;0,6;0,5
13/01/2017 4:00;25,3;48;28;15,8;43,8;0,29;0,5;0,5
13/01/2017 5:00;22,3;39;26,1;14,3;40,4;0,15;0;0,5
13/01/2017 6:00;12;27;26,4;13,8;40,1;0,03;0,2;0,5
13/01/2017 7:00;14,8;53;89,3;13,7;103,1;0,75;1,6;0,8
13/01/2017 8:00;25,6;77;88,1;26,3;114,4;1,19;3,4;1,9
13/01/2017 9:00;36,5;64;40,8;35;75,8;1,01;2,5;5,9
13/01/2017 10:00;45,4;73;30,6;40,3;71;1,15;1,2;10,6
13/01/2017 11:00;44,6;64;16,3;34,8;51,1;0,81;0,8;18,4
13/01/2017 12:00;40,5;82;11,1;36;47,1;0,74;0,3;28,7
13/01/2017 13:00;50,3;95;4,7;20,8;25,5;0,77;1,4;38,7
13/01/2017 14:00;47,9;56;1,9;11,6;13,5;0,44;0,7;41,6
13/01/2017 15:00;34,3;53;3,9;10;13,9;0,59;0,8;28
13/01/2017 16:00;25,4;53;5;9,9;15;0,7;1,9;22
13/01/2017 17:00;30,2;53;4,4;10,3;14,6;0,66;2,5;18,5
13/01/2017 18:00;40,7;56;3,8;16,3;20,1;0,72;2,2;12,5
13/01/2017 19:00;40,2;61;9,1;24,6;33,8;0,89;1,9;3,7
13/01/2017 20:00;36,5;53;8,7;25,6;34,3;0,67;1,7;2,6
13/01/2017 21:00;41,8;68;17,5;26;43,6;0,73;2;0,6
13/01/2017 22:00;38,6;61;20,4;24,7;45,1;0,69;1,6;0,7
13/01/2017 23:00;23,3;47;15,4;21,2;36,6;0,49;0,2;3
14/01/2017 0:00;26,2;26,2;1,6;15,8;17,3;0,21;0;5
14/01/2017 1:00;26,3;30;4,7;19,4;24,1;0,43;0,4;0,7
14/01/2017 2:00;25,8;25,8;3,1;17,9;21,1;0,33;0,1;1,6
14/01/2017 3:00;25,4;30;6,7;20,4;27,1;0,36;0;0,8
14/01/2017 4:00;19;25;2,6;15,9;18,5;0,19;0,2;4,1
14/01/2017 5:00;20,5;22;0,4;7,3;7,6;0;0;9,9
14/01/2017 6:00;18,6;38;4,5;16,3;20,9;0,18;0;2,2
14/01/2017 7:00;26,7;31;25,7;20,7;46,4;0,53;0,3;0,5
14/01/2017 8:00;29,8;29,8;26,3;20,7;47,1;0,63;0,5;1,2
14/01/2017 9:00;20,2;38;22,9;19,3;42,1;0,55;0,6;3,3
14/01/2017 10:00;21,9;44;11,9;15,4;27,3;0,42;0,4;10,3
14/01/2017 11:00;36,9;42;12,8;19,6;32,4;0,82;1,4;11,4
14/01/2017 12:00;39;55;10,3;22,1;32,4;1,06;1,3;16,9
14/01/2017 13:00;43,9;54;5,8;18,8;24,6;1,11;1,2;26,5
14/01/2017 14:00;45,6;64;4,5;16,7;21,2;1,12;1,7;24
14/01/2017 15:00;36,6;57;4,3;11,9;16,3;1,14;1,4;23
14/01/2017 16:00;29,9;49;2,7;11,9;14,6;1,2;0,9;31,8
14/01/2017 17:00;0;46;2,4;14,8;17,2;1,3;1;23,6
14/01/2017 18:00;37,7;49;4,3;16,3;20,5;1,35;0,8;10,4
14/01/2017 19:00;29,4;51;5,9;23,2;29,1;1,31;0,3;4
14/01/2017 20:00;24,4;30;2,7;19,8;22,5;0,94;0,1;6,7
14/01/2017 21:00;16,2;37;3,6;19,9;23,5;0,86;0,2;6,1
14/01/2017 22:00;21,3;36;3;20,7;23,7;0,81;0,8;5,4
14/01/2017 23:00;16,6;32;1,2;15,3;16,5;0,61;0,2;7,8
15/01/2017 0:00;27,9;27,9;0,7;12,6;13,3;0,37;0;8,4
15/01/2017 1:00;5,5;13;0,3;10,5;10,8;0,12;0;11,2
15/01/2017 2:00;11,4;20;0,2;8;8,2;0,07;0;12,5
15/01/2017 3:00;14,4;18;0,2;11,4;11,5;0;0;8,4
15/01/2017 4:00;7,6;13;1,1;13,5;14,5;0,1;0;5
15/01/2017 5:00;13,6;16;0,6;12,6;13,1;0,02;0;5,3
15/01/2017 6:00;13,7;22;3;17,1;20,1;0,06;0;2,2
15/01/2017 7:00;10,7;29;18,5;17,6;36,1;0,18;0,3;1,2
15/01/2017 8:00;16,5;31;17,8;12,3;30;0,14;1,1;4,4
15/01/2017 9:00;10,7;30;7,7;8,3;16;0;0,8;12,7
15/01/2017 10:00;30,3;35;7,5;11,4;18,9;0,24;0,9;18,6
15/01/2017 11:00;30,9;42;7;13,9;20,9;0,56;1,5;23,1
15/01/2017 12:00;39,4;41;2,9;8,6;11,5;0,72;1,2;27,9
15/01/2017 13:00;29,6;33;2,1;6,3;8,5;0,92;0,8;27,8
15/01/2017 14:00;16,8;16,8;1,6;4,9;6,5;0,98;0,4;0
15/01/2017 15:00;16,1;20;1,7;5,1;6,8;0,84;0,5;0
15/01/2017 16:00;13,8;18;1,5;4,1;5,5;0,16;0,2;0
15/01/2017 17:00;21,2;21,2;1,6;5,3;7;0,22;0,3;0
15/01/2017 18:00;20,8;23;1,4;10,1;11,5;0,28;0,4;0
